x,y123,y23
0,1.003,1
2,0.93,10.1
4,0.794,24.8
6,0.78,27.5
8,0.707,26.5
10,0.653,23.4
12,0.589,21.8
14,0.589,22.1
16,0.638,24.1
18,0.644,22.1
20,0.693,23
25,0.692,22.5
30,0.76,23.2
40,0.809,14.4
50,0.93,8.7
60,0.974,8.1
